Opcode Coverage Matrix
======================

Opcode                           1.05  2.03  2.06  2.07  3.00  3.01  3.05  3.06  3.07  3.08  3.09  3.10  3.11  3.12  3.13  3.14  
-----------------------------------------------------------------------------------------------------------------
CACHE                             -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓    ✓   
POP_TOP                           ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
PUSH_NULL                         -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓    ✓   
INTERPRETER_EXIT                  -    -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓   
END_FOR                           -    -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓   
END_SEND                          -    -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓   
TO_BOOL                           -    -    -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓   
NOP                               -    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
UNARY_NEGATIVE                    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
UNARY_NOT                         ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
UNARY_INVERT                      ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
RESERVED                          -    -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓   
BINARY_SUBSCR                     ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    -   
BINARY_SLICE                      -    -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓   
STORE_SLICE                       -    -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓   
GET_LEN                           -    -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓    ✓    ✓   
MATCH_MAPPING                     -    -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓    ✓    ✓   
MATCH_SEQUENCE                    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓    ✓    ✓   
MATCH_KEYS                        -    -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓    ✓    ✓   
PUSH_EXC_INFO                     -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓    ✓   
CHECK_EXC_MATCH                   -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓    ✓   
JUMP_IF_NOT_EXC_MATCH             -    -    -    -    -    -    -    -    -    -    ✓    ✓    -    -    -    -   
CHECK_EG_MATCH                    -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓    ✓   
WITH_EXCEPT_START                 -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓    ✓    ✓    ✓   
GET_AITER                         -    -    -    -    -    -    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
GET_ANEXT                         -    -    -    -    -    -    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
BEFORE_ASYNC_WITH                 -    -    -    -    -    -    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    -   
BEFORE_WITH                       -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓    -   
END_ASYNC_FOR                     -    -    -    -    -    -    -    -    -    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
CLEANUP_THROW                     -    -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓   
STORE_SUBSCR                      ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
DELETE_SUBSCR                     ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
GET_ITER                          ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
GET_YIELD_FROM_ITER               -    -    -    -    -    -    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
YIELD_FROM                        -    -    -    -    -    -    ✓    ✓    ✓    ✓    ✓    ✓    -    -    -    -   
LOAD_BUILD_CLASS                  -    -    -    -    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
LOAD_ASSERTION_ERROR              -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓    ✓    ✓    -   
RETURN_GENERATOR                  -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓    ✓   
GEN_START                         -    -    -    -    -    -    -    -    -    -    -    ✓    -    -    -    -   
RETURN_VALUE                      ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
SETUP_ANNOTATIONS                 -    -    -    -    -    -    -    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
LOAD_LOCALS                       ✓    ✓    ✓    ✓    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓   
POP_EXCEPT                        -    -    -    -    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
